-11.32,-3.10,-3.55,1.08,-1.10,0.93
-12.11,-4.34,-3.30,0.53,-0.75,0.45
-14.10,-4.88,-3.03,-0.83,0.03,-0.30
-13.47,-3.02,-1.30,-1.45,1.35,-1.13
-14.11,-1.95,-0.76,-1.50,2.61,-1.81
-13.55,-1.73,-0.53,-1.12,3.26,-2.19
-12.01,-1.42,-0.12,-0.53,3.19,-2.45
-10.72,-1.29,0.29,-0.01,2.81,-2.67
-9.31,-0.82,0.83,0.26,2.43,-2.50
-8.29,-0.45,1.01,0.32,2.01,-1.93
-8.45,-0.60,0.60,0.23,1.34,-0.99
-8.69,-0.26,0.55,0.12,0.54,0.06
-10.10,0.00,0.97,0.71,-0.09,0.75
-11.94,-2.32,-0.97,-0.40,-2.48,2.68
-11.66,-1.76,-1.59,-1.31,-2.91,2.77
-10.96,-0.25,-1.92,-0.58,-2.84,2.36
-10.77,-0.59,-1.86,1.23,-2.29,1.90
-11.23,-2.01,-2.23,1.83,-1.63,1.55
-11.20,-2.93,-2.81,1.58,-1.18,1.37
-11.29,-3.52,-3.49,1.31,-0.98,1.09
-11.05,-4.62,-3.40,0.84,-0.63,0.59
-12.84,-5.15,-3.12,-0.31,-0.25,-0.14
-13.21,-4.04,-1.79,-1.24,0.87,-0.93
-14.32,-3.12,-0.87,-1.60,2.00,-1.57
-14.94,-2.57,-0.34,-1.73,2.77,-2.03
-13.65,-1.79,-0.10,-1.33,2.98,-2.44
-12.02,-1.17,0.26,-0.80,2.79,-2.84
-10.02,-0.09,1.12,-0.68,2.67,-2.72
-8.31,0.02,0.46,-0.33,2.28,-2.08
-7.71,0.17,0.26,0.04,1.48,-1.11
-8.65,0.13,0.10,0.27,0.66,-0.30
-9.50,-0.05,0.36,0.79,0.13,0.39
-10.51,-0.55,0.39,1.21,-0.37,1.04
-10.55,-1.37,-0.96,0.90,-1.42,1.70
-11.23,-1.80,-1.09,0.16,-2.26,2.27
-11.45,-1.36,-1.38,-0.57,-2.70,2.44
-11.07,-0.33,-1.70,-0.38,-2.65,2.30
-11.07,-0.32,-1.69,0.98,-2.22,2.11
-11.53,-1.73,-2.08,1.56,-1.70,1.94
-11.26,-2.85,-2.74,1.36,-1.47,1.84
-10.67,-3.60,-3.29,0.95,-1.37,1.58
-11.06,-4.67,-3.55,0.28,-1.20,1.06
-12.89,-5.28,-3.09,-0.89,-0.79,0.24
-13.05,-3.60,-1.74,-1.82,0.68,-0.75
-13.02,-1.93,-0.46,-1.50,2.09,-1.56
-14.46,-2.04,-0.84,-1.20,3.03,-2.11
-13.94,-2.22,-0.71,-0.81,3.06,-2.28
-12.64,-1.62,-0.03,-0.49,2.70,-2.60
-11.14,-1.01,1.12,-0.49,2.57,-2.69
-9.46,-0.41,1.20,-0.74,2.42,-2.28
-8.06,-0.01,0.53,-0.50,1.85,-1.54
-8.23,0.15,0.69,-0.02,0.97,-0.66
-8.39,0.08,0.94,0.39,0.23,0.09
-9.91,-0.09,0.82,0.61,-0.49,0.72
-11.18,-0.55,-0.12,0.89,-1.31,1.41
-11.78,-1.49,-1.21,0.65,-2.20,2.11
-12.00,-1.42,-1.31,0.02,-2.73,2.42
-11.71,-0.74,-1.65,-0.22,-2.81,2.28
-11.30,-0.26,-1.43,0.76,-2.31,2.12
-11.26,-1.37,-1.64,1.73,-1.68,1.97
-11.20,-2.61,-2.21,1.90,-1.40,1.85
-10.83,-3.68,-2.90,1.45,-1.32,1.67
-10.42,-4.51,-3.21,0.90,-1.18,1.19
-11.27,-4.68,-2.93,0.03,-0.85,0.31
-13.82,-4.75,-2.75,-0.79,0.00,-0.62
-13.48,-3.34,-1.39,-0.84,1.35,-1.51
-14.51,-2.99,-0.75,-1.03,2.36,-2.29
-14.71,-2.97,-0.28,-1.41,2.92,-2.60
-13.29,-2.09,-0.16,-1.65,2.83,-2.77
-11.48,-0.89,0.56,-1.22,2.62,-2.88
-9.77,0.02,1.03,-0.36,2.42,-2.64
-9.32,-0.78,0.54,-0.19,1.92,-1.85
-8.95,-0.32,0.96,-0.21,1.32,-0.78
-8.81,-0.27,1.19,0.26,0.75,-0.02
-9.34,-0.11,1.09,0.63,0.04,0.35
-10.04,-0.33,0.59,1.24,-0.73,0.86
-11.02,-1.52,-0.66,1.06,-1.73,1.72
-11.36,-2.19,-1.07,0.12,-2.51,2.41
-10.88,-1.91,-1.92,-1.21,-3.12,2.48
-10.92,-0.43,-1.64,-1.21,-3.16,2.27
-11.65,-0.21,-1.70,0.36,-2.52,2.08
-12.19,-1.18,-2.20,1.61,-1.81,1.74
-11.78,-2.59,-2.70,2.24,-1.39,1.48
-11.78,-4.36,-3.08,1.91,-1.17,1.18
-11.77,-5.56,-3.04,0.49,-0.85,0.64
-13.19,-4.86,-2.95,-1.11,-0.26,-0.13
-12.69,-2.70,-1.74,-1.21,1.06,-0.90
-13.54,-2.26,-1.19,-0.70,2.26,-1.56
-13.79,-2.70,-0.61,-0.58,2.98,-2.00
-12.57,-2.21,-0.33,-0.69,2.98,-2.35
-11.48,-1.63,-0.07,-0.51,2.67,-2.60
-10.42,-1.44,0.67,-0.12,2.49,-2.50
-9.64,-1.14,0.97,0.05,2.22,-2.23
-9.35,-0.76,0.88,-0.17,1.69,-1.70
-9.02,-0.17,0.85,-0.11,0.99,-0.87
-9.06,0.18,0.90,0.43,0.16,0.04
-9.90,0.10,0.76,0.86,-0.68,0.80
-10.51,-1.10,-0.64,0.63,-1.69,1.65
-11.18,-1.36,-0.89,-0.19,-2.46,2.24
-11.81,-0.91,-1.47,-0.78,-2.95,2.39
-12.02,-0.27,-1.90,-0.51,-3.01,2.37
-12.01,-0.60,-2.02,0.64,-2.54,2.38
-11.62,-1.48,-2.53,1.20,-1.95,2.18
-11.33,-2.05,-2.74,1.85,-1.45,1.84
-11.39,-3.57,-3.22,2.21,-1.08,1.43
-11.42,-6.16,-3.09,1.34,-0.73,0.91
-12.52,-6.02,-2.89,-0.70,-0.37,0.04
-12.96,-4.17,-2.46,-1.78,0.55,-0.85
-13.59,-2.98,-1.16,-1.77,1.81,-1.46
-15.32,-2.46,-0.65,-1.91,2.82,-1.98
-15.08,-1.80,-0.21,-1.51,3.34,-2.35
-13.73,-0.74,0.20,-0.62,3.33,-2.75
-11.68,0.28,0.87,0.64,3.05,-2.98
-8.04,-0.44,0.63,-0.06,1.13,-1.02
-8.30,0.53,0.79,-0.24,0.57,-0.33
-8.62,0.59,0.41,0.34,-0.14,0.37
-9.50,-0.81,-0.28,0.74,-0.95,1.31
-9.96,-2.48,-1.40,-0.23,-1.93,2.19
-11.27,-2.39,-1.39,-1.64,-2.82,2.56
-12.12,-0.75,-1.99,-1.86,-3.23,2.33
-11.86,0.71,-2.41,0.08,-2.88,1.92
-11.39,-0.27,-2.29,2.29,-2.07,1.71
-11.45,-2.07,-2.69,3.09,-1.37,1.63
-11.13,-3.93,-3.19,2.67,-0.93,1.73
-10.97,-5.74,-2.91,1.57,-0.61,1.53
-10.45,-5.64,-2.54,0.18,-0.24,0.75
-12.17,-5.16,-2.71,-0.59,-0.14,-0.29
-12.99,-5.08,-2.70,-1.24,0.39,-0.99
-14.23,-4.04,-1.42,-1.90,1.22,-1.58
-14.75,-2.82,-0.53,-2.28,2.19,-2.01
-14.11,-1.65,-0.35,-1.99,2.86,-2.43
-12.89,-1.00,-0.03,-1.10,3.02,-2.82
-10.99,-0.18,0.57,-0.11,2.85,-2.98
-8.95,-0.39,0.26,0.48,2.29,-2.62
-8.08,-0.54,0.12,0.23,1.60,-1.68
-8.19,0.06,0.71,0.20,1.06,-0.61
-7.63,0.08,0.46,0.81,0.46,0.16
-8.85,-0.65,0.31,1.02,-0.40,0.89
-10.09,-1.87,-0.93,0.38,-1.47,1.74
-11.03,-2.17,-1.66,-0.96,-2.53,2.39
-11.81,-1.03,-1.30,-1.33,-3.00,2.53
-12.14,0.06,-1.95,-0.42,-2.84,2.25
-11.99,-0.01,-2.08,1.50,-2.22,1.91
-11.57,-1.19,-2.03,2.79,-1.46,1.69
-11.40,-2.74,-2.40,2.95,-1.02,1.76
-11.10,-4.10,-2.21,2.17,-0.73,1.97
-11.42,-6.05,-2.54,1.09,-0.57,1.84
-10.77,-6.30,-2.23,-0.20,-0.41,0.99
-12.28,-5.15,-2.78,-1.17,-0.36,-0.38
-13.18,-4.34,-1.92,-1.44,0.44,-1.37
-14.05,-3.43,-0.90,-1.91,1.62,-1.99
-13.87,-2.35,-0.32,-2.41,2.58,-2.35
-12.96,-1.27,-0.32,-2.02,2.88,-2.71
-12.35,-0.55,0.20,-0.96,2.78,-3.06
-10.90,-0.05,0.72,0.12,2.51,-2.98
-9.01,-0.43,0.17,0.46,1.92,-2.38
-8.24,-0.37,0.30,0.28,1.27,-1.39
-8.17,0.25,0.49,0.28,0.68,-0.48
-9.15,0.16,0.55,0.59,-0.08,0.35
-10.05,-1.05,-0.33,0.66,-1.02,1.37
-10.79,-2.30,-1.41,-0.38,-2.07,2.24
-11.87,-1.82,-0.59,-1.20,-2.59,2.65
-12.03,-0.67,-1.02,-0.98,-2.46,2.44
-11.17,0.42,-1.62,0.86,-2.08,1.86
-10.79,-1.18,-1.42,2.62,-1.58,1.56
-10.78,-2.85,-1.71,2.12,-1.27,1.53
-10.66,-3.07,-2.21,0.87,-1.15,1.70
-10.75,-2.83,-2.70,0.50,-1.09,1.70
-10.98,-3.68,-3.27,0.66,-0.95,1.33
-12.63,-5.25,-3.25,0.09,-0.79,0.59
-12.86,-4.37,-2.25,-1.10,0.14,-0.50
-13.55,-3.10,-0.63,-1.44,1.45,-1.38
-14.16,-2.43,-0.24,-1.74,2.84,-1.90
-12.76,-1.60,-0.68,-1.33,3.17,-2.32
-11.39,-1.06,-0.50,-0.25,2.74,-2.82
-10.45,-1.38,0.34,0.41,2.31,-2.97
-9.22,-1.41,0.80,0.14,2.00,-2.59
-8.70,-1.09,0.52,-0.37,1.54,-1.88
-8.99,-0.33,0.59,-0.46,0.95,-0.99
-9.02,0.19,0.57,0.19,0.29,-0.19
-10.11,0.28,0.88,0.93,-0.38,0.57
-10.26,-1.10,-0.94,0.79,-1.37,1.53
-11.11,-1.35,-1.02,-0.20,-2.21,2.25
-11.85,-0.85,-1.12,-0.72,-2.55,2.57
-11.60,0.05,-1.60,-0.39,-2.50,2.47
-11.34,-0.31,-1.70,1.04,-2.11,2.29
-10.97,-2.01,-1.83,1.37,-1.68,2.16
-11.06,-2.87,-2.58,0.82,-1.47,1.93
-10.78,-2.72,-2.97,0.72,-1.28,1.54
-11.28,-3.39,-3.09,0.85,-0.99,0.97
-11.02,-4.04,-2.74,0.42,-0.46,0.19
-13.25,-4.68,-3.21,-0.56,0.05,-0.53
-13.29,-3.76,-1.74,-1.47,1.10,-1.17
-13.92,-2.47,-0.83,-1.90,2.15,-1.84
-14.64,-1.77,-0.49,-1.93,2.91,-2.34
-13.29,-0.98,0.13,-1.33,3.23,-2.63
-11.12,-0.24,0.48,-0.40,3.03,-2.81
-9.64,-0.55,0.52,-0.37,2.54,-2.45
-8.53,-0.31,0.40,-0.43,1.96,-1.62
-8.52,0.35,0.52,-0.03,1.28,-0.82
-8.59,0.44,0.59,0.62,0.64,-0.24
-8.74,-0.03,0.23,0.91,-0.11,0.36
-10.29,-0.69,-0.08,0.88,-0.93,1.09
-11.25,-1.75,-1.00,0.44,-1.82,1.93
-11.80,-1.82,-1.16,-0.10,-2.49,2.46
-11.63,-1.10,-1.40,0.01,-2.70,2.41
-11.09,-0.49,-1.45,0.94,-2.43,2.08
-11.39,-1.46,-1.35,1.94,-1.87,1.97
-11.52,-2.62,-1.89,1.96,-1.46,1.97
-11.22,-3.22,-2.67,1.57,-1.37,1.89
-11.43,-4.03,-3.05,1.26,-1.30,1.58
-11.34,-5.02,-3.06,0.59,-0.89,0.92
-12.54,-4.87,-2.96,-0.38,-0.52,-0.04
-14.46,-2.82,-0.70,-2.13,2.48,-1.96
-14.47,-2.16,-0.25,-2.17,3.02,-2.29
-13.29,-1.12,0.22,-1.57,3.07,-2.66
-11.37,-0.20,0.82,-0.63,2.88,-2.80
-9.72,-0.46,0.83,-0.38,2.53,-2.37
-8.67,-0.07,0.62,-0.31,1.96,-1.54
-8.72,0.44,0.74,0.15,1.23,-0.78
-8.51,0.37,0.97,0.62,0.56,-0.13
-9.80,0.34,1.10,0.99,-0.21,0.43
-10.09,-0.48,-0.70,0.92,-1.38,1.12
-11.11,-1.25,-0.81,0.38,-2.28,1.89
-11.77,-1.38,-0.95,-0.27,-2.67,2.33
-11.72,-0.68,-1.70,-0.52,-2.82,2.25
-11.31,-0.17,-1.78,0.74,-2.54,2.09
-11.48,-1.42,-1.70,1.61,-1.99,1.91
-11.74,-2.41,-2.30,1.47,-1.58,1.75
-11.41,-2.68,-2.92,1.27,-1.33,1.60
-11.46,-3.56,-3.36,1.22,-1.14,1.29
-11.78,-4.88,-3.28,0.56,-0.84,0.75
-13.54,-5.40,-3.61,-0.89,-0.26,-0.06
-12.70,-3.34,-1.56,-1.51,1.01,-0.96
-14.23,-2.39,-0.68,-1.71,2.44,-1.67
-14.08,-1.84,-0.45,-1.62,3.49,-2.09
-12.54,-1.04,-0.43,-0.86,3.45,-2.49
-11.18,-0.22,0.15,0.22,2.95,-2.77
-10.12,-0.83,0.49,0.47,2.41,-2.42
-9.19,-0.44,0.68,-0.24,1.95,-1.60
-9.53,0.23,0.24,-0.36,1.30,-0.88
-9.15,0.99,0.27,0.08,0.66,-0.36
-9.74,0.94,0.72,0.75,0.08,0.11
-9.69,0.22,0.08,0.81,-0.71,0.85
-10.42,-0.94,-0.75,0.38,-1.74,1.74
-11.26,-1.04,-0.54,0.04,-2.37,2.29
-11.48,-1.05,-1.31,0.04,-2.71,2.44
-11.22,-0.62,-1.66,0.60,-2.74,2.37
-11.82,-1.39,-1.64,1.41,-2.43,2.30
-12.31,-2.42,-2.45,1.23,-2.03,2.12
-12.21,-2.69,-3.39,1.06,-1.72,1.77
-12.03,-3.23,-3.81,1.37,-1.31,1.22
-11.44,-4.63,-3.17,1.06,-0.64,0.46
-13.73,-5.44,-2.97,-0.22,0.06,-0.37
-12.93,-3.83,-1.55,-1.10,1.38,-1.15
-13.52,-2.69,-0.78,-1.35,2.33,-1.89
-13.70,-2.47,-0.56,-1.44,2.83,-2.35
-12.60,-1.91,-0.31,-1.37,2.75,-2.61
-11.72,-1.38,0.30,-1.05,2.50,-2.80
-10.71,-0.90,0.97,-1.02,2.33,-2.57
-9.59,-0.41,0.76,-0.90,2.05,-1.95
-9.08,0.18,0.41,-0.41,1.48,-1.18
-8.90,0.65,0.60,0.30,0.84,-0.45
-8.91,0.83,1.03,0.67,0.23,0.11
-10.15,0.27,0.53,0.93,-0.60,0.69
-10.69,-0.64,-0.40,0.64,-1.76,1.46
-11.38,-1.45,-0.84,0.03,-2.66,2.09
-11.66,-1.42,-1.19,-0.61,-3.19,2.30
-11.84,-0.79,-1.85,-0.59,-3.30,2.25
-11.86,-0.44,-1.98,0.62,-2.84,2.08
-12.19,-1.01,-2.20,1.69,-2.12,1.71
-11.83,-2.07,-2.79,2.24,-1.47,1.37
-11.05,-3.40,-3.20,2.01,-1.05,1.13
-10.76,-4.76,-3.35,0.94,-0.67,0.78
-11.77,-5.01,-2.79,-0.51,-0.27,0.15
-13.32,-3.87,-2.02,-1.62,0.74,-0.68
-13.89,-2.43,-0.51,-1.54,2.08,-1.39
-14.96,-1.97,-0.44,-1.30,3.00,-2.03
-13.80,-1.72,-0.28,-0.66,3.20,-2.44
-12.23,-2.01,0.26,-0.62,2.83,-2.80
-10.75,-1.30,1.15,-1.46,2.67,-2.73
-9.19,-0.25,0.99,-1.65,2.41,-2.15
-8.18,0.21,0.39,-1.01,1.70,-1.34
-8.30,0.34,0.79,-0.07,0.84,-0.46
-9.03,0.05,1.05,0.56,0.10,0.25
-10.55,-0.28,1.20,1.08,-0.69,0.78
-10.80,-0.81,-0.58,1.03,-1.83,1.33
-11.63,-0.98,-0.79,0.76,-2.65,1.74
-12.10,-0.71,-0.62,0.50,-2.77,1.99
-11.78,-0.33,-1.46,0.64,-2.56,2.00
-11.44,-0.74,-1.70,1.59,-2.18,2.10
-11.50,-1.95,-1.92,1.79,-1.80,2.14
-11.52,-2.58,-2.62,1.49,-1.58,2.08
-11.19,-3.34,-3.16,1.38,-1.38,1.82
-11.11,-4.43,-3.17,0.92,-1.04,1.15
-11.71,-4.49,-2.81,-0.07,-0.59,0.16
-13.35,-4.44,-2.82,-1.00,0.40,-0.69
-12.95,-3.21,-1.19,-1.37,1.66,-1.31
-14.36,-2.42,-0.77,-1.82,2.62,-1.95
-14.57,-1.79,-0.34,-1.67,3.20,-2.30
-13.25,-0.94,0.12,-0.94,3.24,-2.64
-11.55,-0.07,0.52,-0.02,2.95,-2.85
-10.08,-0.44,0.55,0.18,2.46,-2.40
-9.02,-0.31,0.55,-0.24,1.93,-1.49
-8.58,0.54,0.53,-0.21,1.25,-0.75
-8.38,0.87,0.52,0.28,0.56,-0.26
-10.48,0.75,1.32,0.78,-0.09,0.32
-10.86,-0.37,-0.10,0.89,-1.09,1.25
-10.81,-1.45,-1.01,0.28,-2.27,2.11
-11.42,-1.35,-0.82,-0.38,-2.93,2.45
-11.92,-0.85,-1.29,-0.74,-3.11,2.37
-12.11,-0.20,-1.62,0.10,-2.81,2.23
-12.29,-1.13,-1.86,1.37,-2.23,2.05
-10.93,-2.89,-3.46,0.94,-1.20,1.14
-10.77,-3.60,-3.33,0.70,-0.59,0.62
-11.96,-4.27,-3.00,0.10,-0.09,-0.06
-12.95,-4.30,-2.47,-0.82,0.87,-0.80
-13.34,-3.20,-1.21,-1.19,1.78,-1.54
-14.75,-2.39,-0.71,-1.59,2.53,-2.20
-14.43,-1.20,0.09,-1.41,3.09,-2.49
-12.40,-0.36,0.20,-0.89,3.03,-2.52
-10.49,-0.14,0.35,-0.56,2.61,-2.23
-9.48,-0.21,0.43,-0.37,2.06,-1.59
-8.80,0.06,0.67,-0.34,1.53,-0.98
-8.95,0.47,0.76,-0.14,1.00,-0.61
-8.23,0.88,0.88,0.19,0.46,-0.22
-10.05,0.84,1.34,0.44,-0.24,0.27
-10.85,0.19,-0.32,0.48,-1.38,0.92
-11.10,-0.56,-1.08,0.22,-2.47,1.59
-11.65,-0.54,-0.83,-0.10,-2.89,1.89
-11.76,-0.01,-1.43,-0.21,-2.83,1.86
-11.48,0.45,-1.49,0.97,-2.35,1.86
-11.69,-1.12,-1.76,1.89,-1.87,1.85
-11.93,-2.29,-2.32,1.65,-1.64,1.79
-11.50,-3.08,-2.99,1.26,-1.48,1.62
-11.04,-3.65,-3.37,0.75,-1.28,1.17
-10.56,-3.72,-3.20,0.20,-0.76,0.44
-12.48,-3.95,-3.11,-0.24,-0.19,-0.29
-13.04,-3.74,-2.03,-0.85,1.07,-0.95
-13.15,-2.69,-0.98,-1.29,2.08,-1.63
-14.17,-2.16,-0.59,-1.57,2.69,-2.15
-13.45,-1.52,-0.17,-1.49,2.90,-2.29
-11.59,-0.75,0.24,-0.93,2.74,-2.30
-10.58,-0.45,0.58,-0.30,2.44,-2.16
-9.36,-0.03,0.94,0.07,2.13,-1.75
-8.89,-0.10,0.86,0.35,1.64,-1.23
-9.03,0.34,1.05,0.38,1.01,-0.65
-8.53,0.08,0.58,0.45,0.22,-0.03
-10.66,0.29,1.13,0.39,-0.56,0.53
-11.13,-0.72,-0.41,0.39,-1.51,1.26
-11.21,-1.15,-1.01,-0.20,-2.43,1.74
-11.68,-0.76,-0.98,-0.61,-2.79,1.94
-11.44,-0.06,-1.45,-0.38,-2.68,1.92
-11.27,0.19,-1.52,1.09,-2.18,1.89
-11.17,-1.47,-1.86,2.13,-1.71,1.84
-11.17,-2.85,-2.47,1.83,-1.53,1.79
-10.84,-3.23,-3.02,1.18,-1.35,1.58
-10.88,-3.49,-3.33,0.76,-1.15,1.09
-11.46,-4.01,-2.99,0.18,-0.63,0.39
-13.63,-4.42,-3.31,-0.63,0.11,-0.31
-13.01,-3.23,-1.75,-1.10,1.27,-1.05
-14.15,-2.76,-0.81,-1.45,2.35,-1.68
-14.55,-2.47,-0.34,-1.75,3.05,-2.04
-13.63,-1.76,-0.02,-1.55,3.19,-2.32
-12.49,-1.19,0.57,-0.80,3.04,-2.65
-11.15,-0.57,1.11,-0.04,2.82,-2.73
-9.44,-0.32,0.90,0.55,2.35,-2.38
-8.37,-0.09,0.59,0.71,1.63,-1.70
-8.17,0.36,0.58,0.62,0.84,-0.84
-8.27,0.76,-0.14,0.36,-0.07,0.03
-9.60,0.60,-0.01,0.58,-0.80,1.03
-11.41,-1.01,-1.22,0.28,-1.70,2.11
-12.43,-1.19,-0.63,-0.29,-2.39,2.79
-12.92,-0.95,-1.10,-0.56,-2.79,2.91
-12.63,-0.23,-1.50,0.08,-2.90,2.66
-12.44,-1.04,-1.39,1.30,-2.54,2.53
-12.61,-1.97,-1.78,1.59,-2.05,2.27
-11.81,-2.56,-2.56,1.72,-1.68,1.92
-11.04,-3.06,-3.19,1.63,-1.42,1.44
-10.88,-3.94,-3.43,1.26,-1.04,0.91
-11.73,-4.74,-3.15,0.61,-0.53,0.20
-12.57,-4.84,-2.56,-0.39,0.55,-0.82
-12.08,-2.66,-1.25,-0.58,1.54,-2.02
-13.70,-2.16,-0.98,-0.59,2.31,-2.91
-14.52,-2.87,-0.76,-1.03,2.58,-3.09
-13.85,-2.16,-0.25,-1.83,2.35,-3.00
-12.86,-1.05,0.46,-2.03,2.16,-2.88
-11.44,-0.11,0.68,-1.58,2.08,-2.46
-9.65,0.32,0.53,-0.63,1.87,-1.77
-8.18,0.34,0.60,0.15,1.43,-1.11
-8.09,0.56,0.50,0.38,0.78,-0.49
-8.35,0.53,-0.15,0.29,-0.11,0.30
-10.00,0.22,-0.39,0.39,-0.93,1.21
-11.09,-0.25,-1.27,0.33,-1.73,1.98
-12.63,-0.28,-0.46,0.59,-2.14,2.52
-12.73,-0.46,-1.04,0.58,-2.25,2.70
-12.28,-0.31,-1.08,1.16,-2.23,2.62
-12.22,-1.16,-0.86,1.91,-1.90,2.63
-12.42,-2.47,-1.00,2.07,-1.63,2.52
-12.22,-3.73,-1.96,1.34,-1.66,2.18
-11.21,-3.08,-2.79,0.72,-1.69,1.48
-10.55,-3.18,-3.45,1.11,-1.39,0.77
-10.48,-4.35,-3.51,0.82,-1.00,0.17
-11.78,-5.27,-3.55,-0.59,-0.33,-0.32
-11.26,-4.27,-2.05,-1.77,0.72,-0.89
-11.91,-3.64,-0.67,-2.92,1.63,-1.49
-14.12,-2.56,0.62,-3.84,2.69,-1.76
-13.40,-1.62,-0.18,-3.66,3.06,-1.78
-13.72,-1.14,0.52,-2.05,3.01,-1.90
-13.67,-1.38,1.18,-0.74,3.03,-1.96
-12.34,-0.47,1.93,0.01,2.98,-1.84
-11.10,-0.17,1.64,0.83,2.56,-1.58
-9.23,0.16,1.51,1.35,1.74,-1.13
-9.79,0.08,-0.50,1.04,-1.41,1.01
-10.59,-0.69,-0.38,0.61,-2.05,1.80
-11.19,-0.88,-0.88,-0.15,-2.42,2.23
-11.36,-0.78,-1.71,-0.45,-2.67,2.44
-11.47,-0.72,-1.70,0.35,-2.57,2.46
-12.16,-1.40,-1.83,0.97,-2.23,2.20
-12.29,-2.12,-2.39,1.26,-1.84,1.88
-12.19,-2.82,-2.80,1.44,-1.50,1.57
-12.08,-3.78,-2.81,1.37,-0.98,1.07
-11.97,-4.46,-2.88,0.72,-0.61,0.33
-12.18,-4.20,-2.24,-0.30,0.18,-0.52
-11.67,-3.12,-1.15,-0.82,1.15,-1.24
-12.15,-2.70,-0.99,-1.38,1.91,-1.73
-12.18,-2.25,-0.68,-1.69,2.26,-1.94
-11.67,-1.59,-0.50,-1.36,2.28,-2.08
-11.13,-1.63,0.07,-0.86,2.22,-2.24
-10.63,-1.39,0.73,-0.73,2.17,-2.32
-10.11,-0.55,0.99,-0.57,2.03,-2.07
-10.94,-0.85,0.62,-0.11,1.54,-1.40
-9.84,-0.33,0.88,0.30,0.94,-0.63
-10.02,0.28,1.13,0.90,0.22,-0.32
-9.30,-0.52,-0.29,0.96,-0.76,0.27
-9.45,-1.37,-1.09,0.07,-1.65,1.34
-9.66,-0.95,-0.83,-0.73,-2.01,2.03
-9.69,-0.32,-1.54,-0.42,-2.12,2.21
-10.05,-0.23,-1.68,0.91,-2.03,2.21
-10.78,-1.64,-1.48,1.68,-1.78,2.23
-11.31,-2.55,-1.92,1.28,-1.60,2.17
-11.20,-2.75,-2.44,0.95,-1.54,1.98
-11.74,-3.55,-2.82,0.82,-1.43,1.57
-11.66,-4.44,-2.67,0.15,-0.78,0.77
-12.72,-4.53,-3.60,-0.45,0.03,-0.29
-12.99,-3.66,-3.26,-0.67,0.94,-1.14
-13.16,-3.00,-2.22,-0.72,1.61,-1.76
-13.49,-2.76,-1.39,-1.10,2.05,-2.12
-12.59,-2.11,-0.42,-1.45,2.39,-2.26
-11.32,-1.26,0.06,-1.37,2.54,-2.38
-10.07,-0.95,0.34,-0.77,2.48,-2.30
-8.61,-0.68,0.55,-0.08,2.21,-1.97
-8.33,-0.24,0.74,0.66,1.69,-1.49
-9.07,-0.28,0.96,1.04,1.06,-0.75
-8.85,-0.38,0.64,1.06,0.30,0.04
-9.81,-0.28,0.64,0.96,-0.49,0.74
-11.09,-1.47,-1.19,0.20,-1.58,1.55
-12.08,-1.46,-0.81,-0.83,-2.34,2.30
-11.94,-0.96,-1.46,-1.08,-2.66,2.49
-11.20,0.03,-2.02,-0.38,-2.67,2.12
-10.79,-0.54,-1.78,1.04,-2.20,1.96
-11.04,-1.56,-1.60,1.54,-1.54,1.84
-11.40,-2.40,-2.38,1.65,-1.25,1.73
-11.26,-3.12,-2.82,1.54,-1.18,1.58
-11.37,-4.40,-3.30,1.08,-1.03,1.20
-12.00,-5.05,-2.81,-0.06,-0.73,0.50
-12.99,-4.29,-2.72,-1.27,0.17,-0.42
-13.04,-2.87,-1.11,-1.29,1.44,-1.18
-13.80,-2.39,-0.77,-1.40,2.54,-1.84
-13.37,-2.15,-0.50,-1.31,2.96,-2.26
-12.42,-1.71,-0.10,-1.02,2.79,-2.60
-11.18,-1.49,0.39,-0.74,2.49,-2.74
-9.81,-0.71,0.66,-0.50,2.20,-2.49
-9.28,-0.35,0.56,-0.13,1.81,-1.89
-9.15,-0.35,0.42,0.27,1.30,-1.07
-8.96,-0.07,0.60,0.46,0.79,-0.32
-9.62,0.75,1.25,1.00,0.26,0.10
-9.84,-0.19,-0.60,1.36,-0.74,0.75
-10.49,-1.44,-1.07,0.44,-1.80,1.86
-11.14,-1.76,-1.00,-0.73,-2.40,2.57
-11.20,-0.88,-1.59,-1.35,-2.72,2.56
-11.03,0.17,-1.89,-0.14,-2.59,2.28
-11.53,-0.64,-1.62,1.46,-2.02,2.00
-11.80,-1.81,-1.79,1.99,-1.48,1.80
-11.87,-2.98,-2.52,1.80,-1.28,1.87
-11.74,-4.46,-3.16,1.21,-1.28,1.82
-11.46,-5.69,-3.23,0.11,-1.05,1.17
-13.25,-4.39,-3.38,-0.88,-0.68,-0.04
-12.48,-3.09,-1.96,-0.67,0.75,-1.20
-13.47,-2.80,-1.02,-0.63,2.08,-1.97
-13.75,-2.85,-0.97,-1.40,2.89,-2.41
-13.21,-2.08,-0.79,-1.85,2.85,-2.62
-12.19,-1.25,-0.10,-1.62,2.58,-2.81
-10.80,-0.45,0.63,-0.97,2.51,-2.69
-9.76,-0.36,0.64,-0.29,2.29,-2.24
-9.11,-0.02,0.72,0.30,1.84,-1.53
-8.81,-0.49,0.65,0.80,1.18,-0.65
-9.23,-0.20,0.96,0.83,0.40,-0.03
-9.81,-0.44,0.39,0.94,-0.50,0.65
